Tm,W,L,player_id,salary,player_name,Age,Pos,G,GS,MP,TrV,EFF,Tm_use_total,eFGp,PTS_per_MP,PTS_per_game,FG,FGA,FGp,X3P,X3PA,X3Pp,X2P,X2PA,X2Pp,FT,FTA,FTp,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FTF,Tm_FGA,Tm_MP,Tm_FTA,Tm_G,Tm_TOV,ASTTOVR,FG_MP,FGA_MP,FGp_MP,X3P_MP,X3PA_MP,X3Pp_MP,X2P_MP,X2PA_MP,X2Pp_MP,FT_MP,FTA_MP,FTp_MP,ORB_MP,DRB_MP,TRB_MP,AST_MP,STL_MP,BLK_MP,TOV_MP,PF_MP,FTF_MP,Creds,ApproxV,TOT
MIA,39,43,353,385000,Yante Maten,22,PF,2,0,13,12.3868,3,0.1318,0.25,0.1538,1,1,4,0.25,0,1,0,1,3,0.3333,0,0,0,1,2,3,0,1,0,0,0,2,0,7218,19730,1782,82,1208,0,0.0769,0.3077,0.0192,0,0.0769,0,0.0769,0.2308,0.0256,0,0,0,0.0769,0.1538,0.2308,0,0.0769,0,0,0,0,3,0.1085,nonTOT
MIA,39,43,418,13537527,Kelly Olynyk,27,PF,79,36,1812,507.5356,1054.557,0.1796,0.5629,0.4343,9.962,261,564,0.4628,113,319,0.3542,148,245,0.6041,152,185,0.8216,72,303,375,140,53,37,114,183,787,0.328,7218,19730,1782,82,1208,1.2281,0.144,0.3113,3e-4,0.0624,0.176,2e-4,0.0817,0.1352,3e-4,0.0839,0.1021,5e-4,0.0397,0.1672,0.207,0.0773,0.0292,0.0204,0.0629,0.101,2e-4,942,8.0969,nonTOT
MIA,39,43,463,77250,Duncan Robinson,24,PF,15,1,161,85.0929,48.7333,0.1401,0.5,0.3106,3.3333,18,46,0.3913,10,35,0.2857,8,11,0.7273,4,6,0.6667,2,17,19,5,5,0,4,11,50,0.1304,7218,19730,1782,82,1208,1.25,0.1118,0.2857,0.0024,0.0621,0.2174,0.0018,0.0497,0.0683,0.0045,0.0248,0.0373,0.0041,0.0124,0.1056,0.118,0.0311,0.0311,0,0.0248,0.0683,8e-4,45,0.8274,nonTOT
DET,41,41,219,31873932,Blake Griffin,29,PF,75,75,2622,548.9219,2026.6267,0.302,0.5321,0.7021,24.5467,619,1341,0.4616,189,522,0.3621,430,819,0.525,414,550,0.7527,100,465,565,402,52,28,253,199,1841,0.4101,7238,19855,1893,82,1135,1.5889,0.2361,0.5114,2e-4,0.0721,0.1991,1e-4,0.164,0.3124,2e-4,0.1579,0.2098,3e-4,0.0381,0.1773,0.2155,0.1533,0.0198,0.0107,0.0965,0.0759,2e-4,1777,13.0331,nonTOT
DET,41,41,326,10002681,Jon Leuer,29,PF,41,1,402,181.2995,227.439,0.1606,0.5885,0.3881,3.8049,66,113,0.5841,1,11,0.0909,65,102,0.6373,23,31,0.7419,27,70,97,14,12,4,23,60,156,0.2743,7238,19855,1893,82,1135,0.6087,0.1642,0.2811,0.0015,0.0025,0.0274,2e-4,0.1617,0.2537,0.0016,0.0572,0.0771,0.0018,0.0672,0.1741,0.2413,0.0348,0.0299,0.01,0.0572,0.1493,7e-4,205,2.5799,nonTOT
SAC,39,43,31,7314960,Marvin Bagley,19,PF,62,4,1567,664.3553,1115.4194,0.2423,0.5255,0.589,14.8871,356,706,0.5042,30,96,0.3125,326,610,0.5344,181,262,0.6908,162,309,471,62,33,59,98,120,923,0.3711,7637,19730,1865,82,1095,0.6327,0.2272,0.4505,3e-4,0.0191,0.0613,2e-4,0.208,0.3893,3e-4,0.1155,0.1672,4e-4,0.1034,0.1972,0.3006,0.0396,0.0211,0.0377,0.0625,0.0766,2e-4,1019,8.5884,nonTOT
SAC,39,43,57,6500000,Nemanja Bjelica,30,PF,77,70,1788,419.2126,1109.9351,0.1653,0.5658,0.4144,9.6234,284,593,0.4789,103,257,0.4008,181,336,0.5387,70,92,0.7609,125,319,444,147,54,56,82,197,741,0.1551,7637,19730,1865,82,1095,1.7927,0.1588,0.3317,3e-4,0.0576,0.1437,2e-4,0.1012,0.1879,3e-4,0.0391,0.0515,4e-4,0.0699,0.1784,0.2483,0.0822,0.0302,0.0313,0.0459,0.1102,1e-4,1029,8.6515,nonTOT
SAC,39,43,200,2207040,Harry Giles,20,PF,58,0,820,465.7978,560.7414,0.2323,0.5029,0.4976,7.0345,175,348,0.5029,0,6,0,175,342,0.5117,58,91,0.6374,66,156,222,85,31,22,73,150,408,0.2615,7637,19730,1865,82,1095,1.1644,0.2134,0.4244,6e-4,0,0.0073,0,0.2134,0.4171,6e-4,0.0707,0.111,8e-4,0.0805,0.1902,0.2707,0.1037,0.0378,0.0268,0.089,0.1829,3e-4,489,4.9518,nonTOT
DAL,33,49,21,77250,Kostas Antetokounmpo,21,PF,2,0,11,0,-0.5,0.2251,0,0.1818,1,0,3,0,0,0,0,0,3,0,2,4,0.5,0,1,1,0,2,0,1,0,2,1.3333,7122,19780,2076,82,1167,0,0,0.2727,0,0,0,0,0,0.2727,0,0.1818,0.3636,0.0455,0,0.0909,0.0909,0,0.1818,0,0.0909,0,0.1212,-1,0,nonTOT
DAL,33,49,306,1378242,Maxi Kleber,27,PF,71,18,1502,445.779,770.2394,0.1353,0.5531,0.3229,6.831,175,386,0.4534,77,218,0.3532,98,168,0.5833,58,74,0.7838,90,239,329,70,36,78,54,143,485,0.1917,7122,19780,2076,82,1167,1.2963,0.1165,0.257,3e-4,0.0513,0.1451,2e-4,0.0652,0.1119,4e-4,0.0386,0.0493,5e-4,0.0599,0.1591,0.219,0.0466,0.024,0.0519,0.036,0.0952,1e-4,717,6.5981,nonTOT
DAL,33,49,405,5000000,Dirk Nowitzki,40,PF,51,20,795,-108.2305,340.6471,0.2249,0.4441,0.4692,7.3137,135,376,0.359,64,205,0.3122,71,171,0.4152,39,50,0.78,5,153,158,35,9,18,18,76,373,0.133,7122,19780,2076,82,1167,1.9444,0.1698,0.473,5e-4,0.0805,0.2579,4e-4,0.0893,0.2151,5e-4,0.0491,0.0629,0.001,0.0063,0.1925,0.1987,0.044,0.0113,0.0226,0.0226,0.0956,2e-4,323,3.6281,nonTOT
MIN,36,46,198,14000000,Taj Gibson,33,PF,70,57,1686,277.2953,1109.9571,0.1715,0.5764,0.4466,10.7571,304,537,0.5661,11,34,0.3235,293,503,0.5825,134,177,0.7571,172,286,458,84,53,39,73,186,753,0.3296,7483,19830,1995,82,1074,1.1507,0.1803,0.3185,3e-4,0.0065,0.0202,2e-4,0.1738,0.2983,3e-4,0.0795,0.105,4e-4,0.102,0.1696,0.2716,0.0498,0.0314,0.0231,0.0433,0.1103,2e-4,1038,8.7082,nonTOT
MIN,36,46,521,5750000,Anthony Tolliver,33,PF,65,0,1079,159.2921,413.4462,0.1252,0.5386,0.3021,5.0154,99,259,0.3822,81,215,0.3767,18,44,0.4091,47,60,0.7833,15,162,177,46,17,21,36,91,326,0.2317,7483,19830,1995,82,1074,1.2778,0.0918,0.24,4e-4,0.0751,0.1993,3e-4,0.0167,0.0408,4e-4,0.0436,0.0556,7e-4,0.0139,0.1501,0.164,0.0426,0.0158,0.0195,0.0334,0.0843,2e-4,378,4.0822,nonTOT
