Tm,W,L,WinP_Tm,player_id,salary,player_name,Age,Pos,G,GS,MP,TrV,EFF,Tm_use_total,eFGp,PTS_per_MP,PTS_per_game,TRB_MP,TRB,FG,FGA,FGp,X3P,X3PA,X3Pp,X2P,X2PA,X2Pp,FT,FTA,FTp,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FTF,Tm_FGA,Tm_MP,Tm_FTA,Tm_G,Tm_TOV,ASTTOVR,FG_MP,FGA_MP,FGp_MP,X3P_MP,X3PA_MP,X3Pp_MP,X2P_MP,X2PA_MP,X2Pp_MP,FT_MP,FTA_MP,FTp_MP,ORB_MP,DRB_MP,AST_MP,STL_MP,BLK_MP,TOV_MP,PF_MP,FTF_MP,Creds,ApproxV,TOT
MIL,60,22,73.17073170731707,238,10577466,John Henson,28,C,14,0,188,144.2414,141.1429,0.1858,0.5448,0.4202,5.6429,0.3777,71,31,67,0.4627,11,31,0.3548,20,36,0.5556,6,10,0.6,16,55,14,7,11,12,16,79,0.1493,7471,19780,1904,82,1137,1.1667,0.1649,0.3564,0.0025,0.0585,0.1649,0.0019,0.1064,0.1915,0.003,0.0319,0.0532,0.0032,0.0851,0.2926,0.0745,0.0372,0.0585,0.0638,0.0851,8e-4,130,1.8333,nonTOT
MIL,60,22,73.17073170731707,335,3382000,Brook Lopez,30,C,81,81,2322,446.3392,1279.9877,0.1671,0.5706,0.4345,12.4568,0.1705,396,355,786,0.4517,187,512,0.3652,168,274,0.6131,112,133,0.8421,33,363,98,51,179,82,189,1009,0.1692,7471,19780,1904,82,1137,1.1951,0.1529,0.3385,2e-4,0.0805,0.2205,2e-4,0.0724,0.118,3e-4,0.0482,0.0573,4e-4,0.0142,0.1563,0.0422,0.022,0.0771,0.0353,0.0814,1e-4,1199,9.7028,nonTOT
GSW,57,25,69.51219512195121,47,1378242,Jordan Bell,24,C,68,3,788,374.3864,444.3824,0.1367,0.5156,0.283,3.2794,0.2335,184,99,192,0.5156,0,2,0,99,190,0.5211,25,41,0.6098,55,129,76,20,51,42,80,223,0.2135,7361,19805,1672,82,1169,1.8095,0.1256,0.2437,7e-4,0,0.0025,0,0.1256,0.2411,7e-4,0.0317,0.052,8e-4,0.0698,0.1637,0.0964,0.0254,0.0647,0.0533,0.1015,3e-4,403,4.2831,nonTOT
GSW,57,25,69.51219512195121,64,486892,Andrew Bogut,34,C,11,5,134,48.037,97.2727,0.1446,0.5,0.291,3.5455,0.4104,55,18,36,0.5,0,0,0,18,36,0.5,3,3,1,12,43,11,3,8,8,22,39,0.0833,7361,19805,1672,82,1169,1.375,0.1343,0.2687,0.0037,0,0,0,0.1343,0.2687,0.0037,0.0224,0.0224,0.0075,0.0896,0.3209,0.0821,0.0224,0.0597,0.0597,0.1642,6e-4,90,1.3914,nonTOT
GSW,57,25,69.51219512195121,123,5337000,DeMarcus Cousins,28,C,30,30,771,387.9654,692.6,0.2808,0.5148,0.6329,16.2667,0.3204,247,178,371,0.4798,26,95,0.2737,152,276,0.5507,106,144,0.7361,43,204,107,40,44,72,109,488,0.3881,7361,19805,1672,82,1169,1.4861,0.2309,0.4812,6e-4,0.0337,0.1232,4e-4,0.1971,0.358,7e-4,0.1375,0.1868,0.001,0.0558,0.2646,0.1388,0.0519,0.0571,0.0934,0.1414,5e-4,623,5.9381,nonTOT
GSW,57,25,69.51219512195121,293,1544951,Damian Jones,23,C,24,22,410,265.8623,235.3333,0.1108,0.7162,0.3171,5.4167,0.1829,75,53,74,0.7162,0,0,0,53,74,0.7162,24,37,0.6486,31,44,28,12,25,16,63,130,0.5,7361,19805,1672,82,1169,1.75,0.1293,0.1805,0.0017,0,0,0,0.1293,0.1805,0.0017,0.0585,0.0902,0.0016,0.0756,0.1073,0.0683,0.0293,0.061,0.039,0.1537,0.0012,220,2.7202,nonTOT
GSW,57,25,69.51219512195121,333,1567007,Kevon Looney,22,C,80,24,1481,608.9918,968.3625,0.1282,0.6268,0.3376,6.25,0.2816,417,217,347,0.6254,1,10,0.1,216,337,0.6409,65,105,0.619,194,223,123,46,53,51,211,500,0.3026,7361,19805,1672,82,1169,2.4118,0.1465,0.2343,4e-4,7e-4,0.0068,1e-4,0.1458,0.2275,4e-4,0.0439,0.0709,4e-4,0.131,0.1506,0.0831,0.0311,0.0358,0.0344,0.1425,2e-4,918,7.9417,nonTOT
TOR,58,24,70.73170731707317,263,21666667,Serge Ibaka,29,C,74,51,2010,512.3299,1487.4595,0.2286,0.557,0.5532,15.027,0.299,601,464,877,0.5291,49,169,0.2899,415,708,0.5862,135,177,0.7627,156,445,99,29,103,114,211,1112,0.2018,7305,19880,1803,82,1150,0.8684,0.2308,0.4363,3e-4,0.0244,0.0841,1e-4,0.2065,0.3522,3e-4,0.0672,0.0881,4e-4,0.0776,0.2214,0.0493,0.0144,0.0512,0.0567,0.105,1e-4,1375,10.7525,nonTOT
UTA,50,32,60.97560975609756,71,1679520,Tony Bradley,21,C,3,0,36,61.2613,27,0.2361,0.5,0.4722,5.6667,0.4167,15,8,16,0.5,0,0,0,8,16,0.5,1,2,0.5,9,6,1,2,2,3,6,17,0.125,7082,19755,2092,82,1240,0.3333,0.2222,0.4444,0.0139,0,0,0,0.2222,0.4444,0.0139,0.0278,0.0556,0.0139,0.25,0.1667,0.0278,0.0556,0.0556,0.0833,0.1667,0.0035,25,0.5324,nonTOT
UTA,50,32,60.97560975609756,175,16900000,Derrick Favors,27,C,76,70,1766,574.5401,1376.8947,0.1945,0.6002,0.5079,11.8026,0.3171,560,363,619,0.5864,17,78,0.2179,346,541,0.6396,154,228,0.6754,207,353,89,56,106,84,163,897,0.3683,7082,19755,2092,82,1240,1.0595,0.2055,0.3505,3e-4,0.0096,0.0442,1e-4,0.1959,0.3063,4e-4,0.0872,0.1291,4e-4,0.1172,0.1999,0.0504,0.0317,0.06,0.0476,0.0923,2e-4,1294,10.2738,nonTOT
UTA,50,32,60.97560975609756,203,23491573,Rudy Gobert,26,C,81,80,2577,668.5388,2311.3951,0.1778,0.6685,0.4983,15.8519,0.404,1041,476,712,0.6685,0,0,0,476,712,0.6685,332,522,0.636,309,732,161,66,187,130,231,1284,0.7331,7082,19755,2092,82,1240,1.2385,0.1847,0.2763,3e-4,0,0,0,0.1847,0.2763,3e-4,0.1288,0.2026,2e-4,0.1199,0.2841,0.0625,0.0256,0.0726,0.0504,0.0896,3e-4,2183,15.208,nonTOT
UTA,50,32,60.97560975609756,528,3360000,Ekpe Udoh,31,C,51,1,320,159.5635,244.7451,0.1312,0.6944,0.3719,2.3333,0.2812,90,50,72,0.6944,0,0,0,50,72,0.6944,19,30,0.6333,27,63,28,10,31,13,36,119,0.4167,7082,19755,2092,82,1240,2.1538,0.1562,0.225,0.0022,0,0,0,0.1562,0.225,0.0022,0.0594,0.0938,0.002,0.0844,0.1969,0.0875,0.0312,0.0969,0.0406,0.1125,0.0013,232,2.8307,nonTOT
HOU,53,29,64.63414634146342,96,15793104,Clint Capela,24,C,67,67,2249,701.8245,1849.597,0.1816,0.6475,0.4953,16.6269,0.3771,848,474,732,0.6475,0,0,0,474,732,0.6475,166,261,0.636,298,550,96,44,102,94,168,1114,0.3566,7163,19830,2001,82,1094,1.0213,0.2108,0.3255,3e-4,0,0,0,0.2108,0.3255,3e-4,0.0738,0.1161,3e-4,0.1325,0.2446,0.0427,0.0196,0.0454,0.0418,0.0747,2e-4,1757,12.9229,nonTOT
HOU,53,29,64.63414634146342,576,3651480,Nene,36,C,42,2,546,41.4552,260.7381,0.1174,0.5172,0.2766,3.5952,0.2253,123,60,116,0.5172,0,3,0,60,113,0.531,31,47,0.6596,34,89,26,18,15,11,87,151,0.4052,7163,19830,2001,82,1094,2.3636,0.1099,0.2125,9e-4,0,0.0055,0,0.1099,0.207,0.001,0.0568,0.0861,0.0012,0.0623,0.163,0.0476,0.033,0.0275,0.0201,0.1593,7e-4,250,2.9939,nonTOT
POR,53,29,64.63414634146342,115,3628920,Zach Collins,21,C,77,0,1356,542.1451,754,0.1658,0.5225,0.3776,6.6494,0.2389,324,189,400,0.4725,40,121,0.3306,149,279,0.5341,94,126,0.746,109,215,71,25,66,77,174,512,0.315,7427,19855,1914,82,1135,0.9221,0.1394,0.295,3e-4,0.0295,0.0892,2e-4,0.1099,0.2058,4e-4,0.0693,0.0929,6e-4,0.0804,0.1586,0.0524,0.0184,0.0487,0.0568,0.1283,2e-4,678,6.3271,nonTOT
POR,53,29,64.63414634146342,325,10595506,Meyers Leonard,26,C,61,2,878,399.3242,568.2951,0.1479,0.6488,0.4066,5.8525,0.2654,233,132,242,0.5455,50,111,0.4505,82,131,0.626,43,51,0.8431,49,184,75,13,9,43,105,357,0.2107,7427,19855,1914,82,1135,1.7442,0.1503,0.2756,6e-4,0.0569,0.1264,5e-4,0.0934,0.1492,7e-4,0.049,0.0581,0.001,0.0558,0.2096,0.0854,0.0148,0.0103,0.049,0.1196,2e-4,526,5.2302,nonTOT
POR,53,29,64.63414634146342,409,11111111,Jusuf Nurkic,24,C,72,72,1974,692.3323,1788.6667,0.247,0.5103,0.5699,15.625,0.3789,748,420,826,0.5085,3,29,0.1034,417,797,0.5232,282,365,0.7726,243,505,233,71,103,168,250,1125,0.4419,7427,19855,1914,82,1135,1.3869,0.2128,0.4184,3e-4,0.0015,0.0147,1e-4,0.2112,0.4037,3e-4,0.1429,0.1849,4e-4,0.1231,0.2558,0.118,0.036,0.0522,0.0851,0.1266,2e-4,1623,12.1764,nonTOT
DEN,54,28,65.85365853658537,291,25467250,Nikola Jokic,23,C,80,80,2504,725.6282,2555.9,0.2744,0.5452,0.6406,20.05,0.3454,865,616,1206,0.5108,83,270,0.3074,533,936,0.5694,289,352,0.821,228,637,580,108,55,248,228,1604,0.2919,7384,19730,1714,82,1102,2.3387,0.246,0.4816,2e-4,0.0331,0.10780000000000001,1e-4,0.2129,0.3738,2e-4,0.1154,0.1406,3e-4,0.0911,0.2544,0.2316,0.0431,0.022,0.099,0.0911,1e-4,2311,15.872,nonTOT
DEN,54,28,65.85365853658537,434,12917808,Mason Plumlee,28,C,82,17,1731,518.0703,1277.4634,0.1616,0.595,0.368,7.7683,0.3027,524,262,442,0.5928,2,10,0.2,260,432,0.6019,111,198,0.5606,165,359,243,66,76,126,252,637,0.448,7384,19730,1714,82,1102,1.9286,0.1514,0.2553,3e-4,0.0012,0.0058,1e-4,0.1502,0.2496,3e-4,0.0641,0.1144,3e-4,0.0953,0.2074,0.1404,0.0381,0.0439,0.0728,0.1456,3e-4,1153,9.4222,nonTOT
DEN,54,28,65.85365853658537,547,77250,Thomas Welsh,22,C,11,0,36,48.7155,19.9091,0.1765,0.6538,0.5,1.6364,0.1111,4,7,13,0.5385,3,7,0.4286,4,6,0.6667,1,2,0.5,0,4,5,0,0,1,3,18,0.1538,7384,19730,1714,82,1102,5,0.1944,0.3611,0.015,0.0833,0.1944,0.0119,0.1111,0.1667,0.0185,0.0278,0.0556,0.0139,0,0.1111,0.1389,0,0,0.0278,0.0833,0.0043,19,0.4334,nonTOT
BOS,49,33,59.756097560975604,41,5193600,Aron Baynes,32,C,51,18,821,213.9128,499.2157,0.1524,0.5179,0.3459,5.5686,0.2923,240,105,223,0.4709,21,61,0.3443,84,162,0.5185,53,62,0.8548,88,152,57,12,34,40,125,284,0.278,7423,19780,1598,82,1052,1.425,0.1279,0.2716,6e-4,0.0256,0.0743,4e-4,0.1023,0.1973,6e-4,0.0646,0.0755,0.001,0.1072,0.1851,0.0694,0.0146,0.0414,0.0487,0.1523,3e-4,460,4.7299,nonTOT
BOS,49,33,59.756097560975604,256,28928710,Al Horford,32,C,68,68,1973,366.5307,1456.5,0.1894,0.5858,0.4688,13.6029,0.2321,458,387,723,0.5353,73,203,0.3596,314,520,0.6038,78,95,0.8211,120,338,283,59,86,102,126,925,0.1314,7423,19780,1598,82,1052,2.7745,0.1961,0.3664,3e-4,0.037,0.1029,2e-4,0.1591,0.2636,3e-4,0.0395,0.0482,4e-4,0.0608,0.1713,0.1434,0.0299,0.0436,0.0517,0.0639,1e-4,1356,10.6408,nonTOT
BOS,49,33,59.756097560975604,513,1378242,Daniel Theis,26,C,66,2,908,412.2336,589.5,0.1578,0.5977,0.4119,5.6667,0.2478,225,146,266,0.5489,26,67,0.3881,120,199,0.603,56,76,0.7368,87,138,68,21,42,33,161,374,0.2857,7423,19780,1598,82,1052,2.0606,0.1608,0.293,6e-4,0.0286,0.0738,4e-4,0.1322,0.2192,7e-4,0.0617,0.0837,8e-4,0.0958,0.152,0.0749,0.0231,0.0463,0.0363,0.1773,3e-4,557,5.4597,nonTOT
BOS,49,33,59.756097560975604,557,1656600,Robert Williams,21,C,32,2,283,253.0433,196.6875,0.103,0.7059,0.2862,2.5312,0.2862,81,36,51,0.7059,0,0,0,36,51,0.7059,9,15,0.6,27,54,7,9,40,10,36,81,0.2941,7423,19780,1598,82,1052,0.7,0.1272,0.1802,0.0025,0,0,0,0.1272,0.1802,0.0025,0.0318,0.053,0.0021,0.0954,0.1908,0.0247,0.0318,0.1413,0.0353,0.1272,0.001,187,2.408,nonTOT
OKC,49,33,59.756097560975604,3,24157304,Steven Adams,25,C,80,80,2669,665.8374,1709.3125,0.1636,0.5946,0.4151,13.85,0.2848,760,481,809,0.5946,0,2,0,481,807,0.596,146,292,0.5,391,369,124,117,76,135,204,1108,0.3609,7706,19855,2049,82,1145,0.9185,0.1802,0.3031,2e-4,0,7e-4,0,0.1802,0.3024,2e-4,0.0547,0.1094,2e-4,0.1465,0.1383,0.0465,0.0438,0.0285,0.0506,0.0764,1e-4,1576,11.911,nonTOT
OKC,49,33,59.756097560975604,138,77250,Tyler Davis,21,C,1,0,1,0,0,0.4072,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7706,19855,2049,82,1145,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,nonTOT
OKC,49,33,59.756097560975604,404,1757429,Nerlens Noel,24,C,77,2,1055,515.2423,770.3766,0.1385,0.587,0.3583,4.9091,0.3081,325,162,276,0.587,0,0,0,162,276,0.587,54,79,0.6835,127,198,45,66,96,48,166,378,0.2862,7706,19855,2049,82,1145,0.9375,0.1536,0.2616,6e-4,0,0,0,0.1536,0.2616,6e-4,0.0512,0.0749,6e-4,0.1204,0.1877,0.0427,0.0626,0.091,0.0455,0.1573,3e-4,723,6.6395,nonTOT
IND,48,34,58.536585365853654,19,1349383,Ike Anigbogu,20,C,3,0,6,5.7417,1.6667,0.2914,0,0,0,0.5,3,0,3,0,0,0,0,0,3,0,0,0,0,1,2,1,0,1,1,0,0,0,7135,19705,1727,82,1122,1,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0.1667,0.3333,0.1667,0,0.1667,0.1667,0,0,1,0.0476,nonTOT
IND,48,34,58.536585365853654,412,4449000,Kyle O'Quinn,28,C,45,3,371,231.362,293.3111,0.2076,0.511,0.4205,3.4667,0.3208,119,69,136,0.5074,1,12,0.0833,68,124,0.5484,17,21,0.8095,29,90,56,9,25,31,68,156,0.1544,7135,19705,1727,82,1122,1.8065,0.186,0.3666,0.0014,0.0027,0.0323,2e-4,0.1833,0.3342,0.0015,0.0458,0.0566,0.0022,0.0782,0.2426,0.1509,0.0243,0.0674,0.0836,0.1833,4e-4,263,3.1099,nonTOT
IND,48,34,58.536585365853654,470,2659800,Domantas Sabonis,22,C,74,5,1838,713.413,1650.8378,0.235,0.5964,0.5675,14.0946,0.3754,690,413,700,0.59,9,17,0.5294,404,683,0.5915,208,291,0.7148,186,504,212,48,30,160,239,1043,0.4157,7135,19705,1727,82,1122,1.325,0.2247,0.3808,3e-4,0.0049,0.0092,3e-4,0.2198,0.3716,3e-4,0.1132,0.1583,4e-4,0.1012,0.2742,0.1153,0.0261,0.0163,0.0871,0.13,2e-4,1493,11.4374,nonTOT
IND,48,34,58.536585365853654,527,3294994,Myles Turner,22,C,74,74,2119,694.2542,1434.6486,0.1998,0.5359,0.4644,13.2973,0.2506,531,380,780,0.4872,76,196,0.3878,304,584,0.5205,148,201,0.7363,101,430,115,60,199,100,195,984,0.2577,7135,19705,1727,82,1122,1.15,0.1793,0.3681,2e-4,0.0359,0.0925,2e-4,0.1435,0.2756,2e-4,0.0698,0.0949,3e-4,0.0477,0.2029,0.0543,0.0283,0.0939,0.0472,0.092,1e-4,1336,10.5229,nonTOT
PHI,51,31,62.19512195121951,166,25467250,Joel Embiid,24,C,64,64,2154,712.3285,2284.4688,0.3329,0.5167,0.8175,27.5156,0.4044,871,580,1199,0.4837,79,263,0.3004,501,936,0.5353,522,649,0.8043,160,711,234,46,122,226,211,1761,0.5413,7233,19805,2258,82,1223,1.0354,0.2693,0.5566,2e-4,0.0367,0.1221,1e-4,0.2326,0.4345,2e-4,0.2423,0.3013,4e-4,0.0743,0.3301,0.1086,0.0214,0.0566,0.1049,0.098,3e-4,2062,14.5713,nonTOT
PHI,51,31,62.19512195121951,287,2393887,Amir Johnson,31,C,51,6,529,190.2278,348.1176,0.1744,0.5414,0.38,3.9412,0.2779,147,79,157,0.5032,12,40,0.3,67,117,0.5726,31,41,0.7561,47,100,60,16,13,45,99,201,0.2611,7233,19805,2258,82,1223,1.3333,0.1493,0.2968,0.001,0.0227,0.0756,6e-4,0.1267,0.2212,0.0011,0.0586,0.0775,0.0014,0.0888,0.189,0.1134,0.0302,0.0246,0.0851,0.1871,5e-4,304,3.4669,nonTOT
PHI,51,31,62.19512195121951,427,2667600,Justin Patton,21,C,3,0,21,31.1998,10,0.1573,0.2857,0.2381,1.6667,0.2857,6,2,7,0.2857,0,2,0,2,5,0.4,1,2,0.5,2,4,3,2,0,0,5,5,0.2857,7233,19805,2258,82,1223,Inf,0.0952,0.3333,0.0136,0,0.0952,0,0.0952,0.2381,0.019,0.0476,0.0952,0.0238,0.0952,0.1905,0.1429,0.0952,0,0,0.2381,0.0136,10,0.2678,nonTOT
SAS,48,34,58.536585365853654,10,22347015,LaMarcus Aldridge,33,C,81,81,2687,344.0344,2115.2222,0.2694,0.5224,0.6427,21.321,0.2769,744,684,1319,0.5186,10,42,0.2381,674,1277,0.5278,349,412,0.8471,251,493,194,43,107,144,179,1727,0.3124,7248,19805,1720,82,992,1.3472,0.2546,0.4909,2e-4,0.0037,0.0156,1e-4,0.2508,0.4753,2e-4,0.1299,0.1533,3e-4,0.0934,0.1835,0.0722,0.016,0.0398,0.0536,0.0666,1e-4,1973,14.097,nonTOT
SAS,48,34,58.536585365853654,436,2947320,Jakob Poeltl,23,C,77,24,1273,567.6855,876.3766,0.1309,0.6448,0.3323,5.4935,0.3221,410,187,290,0.6448,0,0,0,187,290,0.6448,49,92,0.5326,178,232,93,29,68,48,124,423,0.3172,7248,19805,1720,82,992,1.9375,0.1469,0.2278,5e-4,0,0,0,0.1469,0.2278,5e-4,0.0385,0.0723,4e-4,0.1398,0.1822,0.0731,0.0228,0.0534,0.0377,0.0974,2e-4,829,7.3569,nonTOT
LAC,48,34,58.536585365853654,141,77250,Angel Delgado,24,C,2,0,15,11.5299,3,0.1654,0.2,0.2,1.5,0.2667,4,1,5,0.2,0,0,0,1,5,0.2,1,2,0.5,2,2,0,1,0,0,2,3,0.4,7178,19830,2340,82,1193,0,0.0667,0.3333,0.0133,0,0,0,0.0667,0.3333,0.0133,0.0667,0.1333,0.0333,0.1333,0.1333,0,0.0667,0,0,0.1333,0.0267,3,0.1085,nonTOT
LAC,48,34,58.536585365853654,208,13565218,Marcin Gortat,34,C,47,43,751,138.7681,487.9362,0.1444,0.5323,0.3103,4.9574,0.3475,261,99,186,0.5323,0,0,0,99,186,0.5323,35,48,0.7292,67,194,65,6,24,50,92,233,0.2581,7178,19830,2340,82,1193,1.3,0.1318,0.2477,7e-4,0,0,0,0.1318,0.2477,7e-4,0.0466,0.0639,0.001,0.0892,0.2583,0.0866,0.008,0.032,0.0666,0.1225,3e-4,439,4.567,nonTOT
LAC,48,34,58.536585365853654,226,6000000,Montrezl Harrell,25,C,82,5,2158,669.5507,1747.3902,0.235,0.6166,0.6307,16.5976,0.2479,535,546,888,0.6149,3,17,0.1765,543,871,0.6234,266,414,0.6425,184,351,162,71,110,132,255,1361,0.4662,7178,19830,2340,82,1193,1.2273,0.253,0.4115,3e-4,0.0014,0.0079,1e-4,0.2516,0.4036,3e-4,0.1233,0.1918,3e-4,0.0853,0.1627,0.0751,0.0329,0.051,0.0612,0.1182,2e-4,1617,12.1426,nonTOT
