Tm,W,L,WinP_Tm,player_id,salary,player_name,Age,Pos,G,GS,MP,TrV,EFF,Tm_use_total,eFGp,PTS_per_MP,PTS_per_game,TRB_MP,TRB,FG,FGA,FGp,X3P,X3PA,X3Pp,X2P,X2PA,X2Pp,FT,FTA,FTp,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FTF,Tm_FGA,Tm_MP,Tm_FTA,Tm_G,Tm_TOV,ASTTOVR,FG_MP,FGA_MP,FGp_MP,X3P_MP,X3PA_MP,X3Pp_MP,X2P_MP,X2PA_MP,X2Pp_MP,FT_MP,FTA_MP,FTp_MP,ORB_MP,DRB_MP,AST_MP,STL_MP,BLK_MP,TOV_MP,PF_MP,FTF_MP,Creds,ApproxV,TOT
SAC,39,43,47.5609756097561,104,4696874,Willie Cauley-Stein,25,C,81,81,2213,653.2179,1539.963,0.1749,0.5567,0.4361,11.9136,0.3064,678,412,741,0.556,1,2,0.5,411,739,0.5562,140,254,0.5512,181,497,194,96,51,84,227,965,0.3428,7637,19730,1865,82,1095,2.3095,0.1862,0.3348,3e-4,5e-4,9e-4,2e-4,0.1857,0.3339,3e-4,0.0633,0.1148,2e-4,0.0818,0.2246,0.0877,0.0434,0.023,0.038,0.1026,2e-4,1457,11.2299,nonTOT
SAC,39,43,47.5609756097561,312,8739500,Kosta Koufos,29,C,42,1,502,222.8911,307.3571,0.1568,0.4771,0.3108,3.7143,0.3526,177,73,153,0.4771,0,0,0,73,153,0.4771,10,24,0.4167,52,125,36,15,18,27,68,156,0.1569,7637,19730,1865,82,1095,1.3333,0.1454,0.3048,0.001,0,0,0,0.1454,0.3048,0.001,0.0199,0.0478,8e-4,0.1036,0.249,0.0717,0.0299,0.0359,0.0538,0.1355,3e-4,281,3.2682,nonTOT
DAL,33,49,40.243902439024396,367,2098196,Salah Mejri,32,C,36,4,399,146.8622,273.4167,0.1585,0.5402,0.3534,3.9167,0.3283,131,55,112,0.4911,11,34,0.3235,44,78,0.5641,20,32,0.625,36,95,35,10,26,21,55,141,0.2857,7122,19780,2076,82,1167,1.6667,0.1378,0.2807,0.0012,0.0276,0.0852,8e-4,0.1103,0.1955,0.0014,0.0501,0.0802,0.0016,0.0902,0.2381,0.0877,0.0251,0.0652,0.0526,0.1378,7e-4,253,3.0208,nonTOT
DAL,33,49,40.243902439024396,442,9631250,Dwight Powell,27,C,77,22,1662,543.6031,1177.1299,0.1719,0.6368,0.4904,10.5844,0.2473,411,290,486,0.5967,39,127,0.3071,251,359,0.6992,196,254,0.7717,140,271,112,44,50,67,201,815,0.5226,7122,19780,2076,82,1167,1.6716,0.1745,0.2924,4e-4,0.0235,0.0764,2e-4,0.151,0.216,4e-4,0.1179,0.1528,5e-4,0.0842,0.1631,0.0674,0.0265,0.0301,0.0403,0.1209,3e-4,1111,9.1636,nonTOT
MIN,36,46,43.90243902439025,149,15170787,Gorgui Dieng,29,C,76,2,1031,380.1648,750.25,0.196,0.5265,0.4704,6.3816,0.3016,311,189,377,0.5013,19,56,0.3393,170,321,0.5296,88,106,0.8302,81,230,72,48,41,57,134,485,0.2812,7483,19830,1995,82,1074,1.2632,0.1833,0.3657,5e-4,0.0184,0.0543,3e-4,0.1649,0.3113,5e-4,0.0854,0.1028,8e-4,0.0786,0.2231,0.0698,0.0466,0.0398,0.0553,0.13,3e-4,694,6.4387,nonTOT
MIN,36,46,43.90243902439025,522,7839435,Karl-Anthony Towns,23,C,77,77,2545,724.8545,2574.8831,0.2894,0.5723,0.7387,24.4156,0.3749,954,681,1314,0.5183,142,355,0.4,539,959,0.562,376,450,0.8356,263,691,259,67,125,240,292,1880,0.3425,7483,19830,1995,82,1074,1.0792,0.2676,0.5163,2e-4,0.0558,0.1395,2e-4,0.2118,0.3768,2e-4,0.1477,0.1768,3e-4,0.1033,0.2715,0.1018,0.0263,0.0491,0.0943,0.1147,1e-4,2338,16.0108,nonTOT
NOP,33,49,40.243902439024396,135,25434263,Anthony Davis,25,C,56,56,1850,685.898,1978,0.2948,0.54,0.7849,25.9286,0.3632,672,530,1026,0.5166,48,145,0.331,482,881,0.5471,344,433,0.7945,174,498,218,88,135,112,132,1452,0.422,7563,19755,1921,82,1215,1.9464,0.2865,0.5546,3e-4,0.0259,0.0784,2e-4,0.2605,0.4762,3e-4,0.1859,0.2341,4e-4,0.0941,0.2692,0.1178,0.0476,0.073,0.0605,0.0714,2e-4,1868,13.5305,nonTOT
NOP,33,49,40.243902439024396,414,1567007,Jahlil Okafor,23,C,59,24,935,494.8727,676.1186,0.199,0.587,0.5176,8.2034,0.2973,278,212,362,0.5856,1,5,0.2,211,357,0.591,59,89,0.6629,82,196,40,15,40,52,96,484,0.2459,7563,19755,1921,82,1215,0.7692,0.2267,0.3872,6e-4,0.0011,0.0053,2e-4,0.2257,0.3818,6e-4,0.0631,0.0952,7e-4,0.0877,0.2096,0.0428,0.016,0.0428,0.0556,0.1027,3e-4,625,5.9524,nonTOT
CHO,39,43,47.5609756097561,56,17000000,Bismack Biyombo,26,C,54,32,783,357.5456,467.3704,0.1267,0.5705,0.3014,4.3704,0.3155,247,89,156,0.5705,0,0,0,89,156,0.5705,58,91,0.6374,81,166,33,11,41,34,103,236,0.5833,7362,19830,1895,82,1001,0.9706,0.1137,0.1992,7e-4,0,0,0,0.1137,0.1992,7e-4,0.0741,0.1162,8e-4,0.1034,0.212,0.0421,0.014,0.0524,0.0434,0.1315,7e-4,434,4.5279,nonTOT
CHO,39,43,47.5609756097561,240,1496500,Willy Hernangomez,24,C,58,3,812,461.7319,641,0.2211,0.5441,0.5185,7.2586,0.383,311,153,295,0.5186,15,39,0.3846,138,256,0.5391,100,144,0.6944,117,194,60,16,20,58,98,421,0.4881,7362,19830,1895,82,1001,1.0345,0.1884,0.3633,6e-4,0.0185,0.048,5e-4,0.17,0.3153,7e-4,0.1232,0.1773,9e-4,0.1441,0.2389,0.0739,0.0197,0.0246,0.0714,0.1207,6e-4,584,5.6571,nonTOT
CHO,39,43,47.5609756097561,301,3627842,Frank Kaminsky,25,C,47,0,755,371.203,466.1277,0.2205,0.547,0.5364,8.617,0.2159,163,138,298,0.4631,50,139,0.3597,88,159,0.5535,79,107,0.7383,39,124,63,12,12,41,68,405,0.3591,7362,19830,1895,82,1001,1.5366,0.1828,0.3947,6e-4,0.0662,0.1841,5e-4,0.1166,0.2106,7e-4,0.1046,0.1417,0.001,0.0517,0.1642,0.0834,0.0159,0.0159,0.0543,0.0901,5e-4,426,4.4652,nonTOT
CHO,39,43,47.5609756097561,572,13528090,Cody Zeller,26,C,49,47,1243,486.0398,824.7347,0.1627,0.5594,0.3998,10.1429,0.2679,333,190,345,0.5507,6,22,0.2727,184,323,0.5697,111,141,0.7872,110,223,102,38,41,62,164,497,0.4087,7362,19830,1895,82,1001,1.6452,0.1529,0.2776,4e-4,0.0048,0.0177,2e-4,0.148,0.2599,5e-4,0.0893,0.1134,6e-4,0.0885,0.1794,0.0821,0.0306,0.033,0.0499,0.1319,3e-4,764,6.9199,nonTOT
LAL,37,45,45.1219512195122,361,2393887,JaVale McGee,31,C,75,62,1671,413.317,1411.56,0.2023,0.6248,0.5368,11.96,0.3387,566,400,641,0.624,1,12,0.0833,399,629,0.6343,96,152,0.6316,195,371,52,47,148,108,208,897,0.2371,7425,19780,1910,82,1284,0.4815,0.2394,0.3836,4e-4,6e-4,0.0072,0,0.2388,0.3764,4e-4,0.0575,0.091,4e-4,0.1167,0.222,0.0311,0.0281,0.0886,0.0646,0.1245,1e-4,1305,10.3392,nonTOT
LAL,37,45,45.1219512195122,537,1764240,Moritz Wagner,21,C,43,5,446,256.602,229.093,0.2167,0.4795,0.4641,4.814,0.1906,85,71,171,0.4152,22,77,0.2857,49,94,0.5213,43,53,0.8113,17,68,24,11,13,39,57,207,0.3099,7425,19780,1910,82,1284,0.6154,0.1592,0.3834,9e-4,0.0493,0.1726,6e-4,0.1099,0.2108,0.0012,0.0964,0.1188,0.0018,0.0381,0.1525,0.0538,0.0247,0.0291,0.0874,0.1278,7e-4,191,2.4466,nonTOT
LAL,37,45,45.1219512195122,559,127250,Johnathan Williams,23,C,24,0,372,251.402,217.3333,0.1638,0.5909,0.422,6.5417,0.2661,99,65,110,0.5909,0,2,0,65,108,0.6019,27,48,0.5625,48,51,13,8,7,16,62,157,0.4364,7425,19780,1910,82,1284,0.8125,0.1747,0.2957,0.0016,0,0.0054,0,0.1747,0.2903,0.0016,0.0726,0.129,0.0015,0.129,0.1371,0.0349,0.0215,0.0188,0.043,0.1667,0.0012,202,2.5515,nonTOT
MEM,33,49,40.243902439024396,403,20261172,Joakim Noah,33,C,42,1,693,186.9398,540.8095,0.2005,0.5164,0.43,7.0952,0.3434,238,110,213,0.5164,0,1,0,110,212,0.5189,78,109,0.7156,58,180,89,20,31,50,96,298,0.5117,6924,19880,1882,82,1147,1.78,0.1587,0.3074,7e-4,0,0.0014,0,0.1587,0.3059,7e-4,0.1126,0.1573,0.001,0.0837,0.2597,0.1284,0.0289,0.0447,0.0722,0.1385,7e-4,492,4.9746,nonTOT
WAS,32,50,39.02439024390244,86,1378242,Thomas Bryant,21,C,72,53,1496,668.2821,1172.1667,0.1763,0.6484,0.5067,10.5278,0.3035,454,309,502,0.6155,33,99,0.3333,276,403,0.6849,107,137,0.781,113,341,92,25,67,60,126,758,0.2729,7387,19930,1963,82,1154,1.5333,0.2066,0.3356,4e-4,0.0221,0.0662,2e-4,0.1845,0.2694,5e-4,0.0715,0.0916,5e-4,0.0755,0.2279,0.0615,0.0167,0.0448,0.0401,0.0842,2e-4,1113,9.176,nonTOT
WAS,32,50,39.02439024390244,258,24256725,Dwight Howard,33,C,9,9,230,87.3747,166.2222,0.1956,0.6232,0.5,12.7778,0.3609,83,43,69,0.6232,0,0,0,43,69,0.6232,29,48,0.6042,24,59,4,7,4,16,34,115,0.6957,7387,19930,1963,82,1154,0.25,0.187,0.3,0.0027,0,0,0,0.187,0.3,0.0027,0.1261,0.2087,0.0026,0.1043,0.2565,0.0174,0.0304,0.0174,0.0696,0.1478,0.003,152,2.0614,nonTOT
WAS,32,50,39.02439024390244,347,16000000,Ian Mahinmi,32,C,34,6,498,140.2879,256.3824,0.1292,0.4663,0.2791,4.0882,0.257,128,47,104,0.4519,3,16,0.1875,44,88,0.5,42,61,0.6885,48,80,25,25,16,21,84,139,0.5865,7387,19930,1963,82,1154,1.1905,0.0944,0.2088,9e-4,0.006,0.0321,4e-4,0.0884,0.1767,0.001,0.0843,0.1225,0.0014,0.0964,0.1606,0.0502,0.0502,0.0321,0.0422,0.1687,0.0012,236,2.8672,nonTOT
ATL,29,53,35.36585365853659,137,1741503,Deyonta Davis,22,C,9,0,118,126.5287,73.6667,0.1013,0.6818,0.3051,4,0.3051,36,15,22,0.6818,0,1,0,15,21,0.7143,6,10,0.6,10,26,5,3,5,3,12,36,0.4545,7524,19855,1918,82,1397,1.6667,0.1271,0.1864,0.0058,0,0.0085,0,0.1271,0.178,0.0061,0.0508,0.0847,0.0051,0.0847,0.2203,0.0424,0.0254,0.0424,0.0254,0.1017,0.0039,71,1.1647,nonTOT
ATL,29,53,35.36585365853659,139,6300000,Dewayne Dedmon,29,C,64,52,1609,459.2996,1113.6875,0.1667,0.5713,0.4307,10.8281,0.2983,480,259,526,0.4924,83,217,0.3825,176,309,0.5696,92,113,0.8142,105,375,90,69,71,84,214,693,0.2148,7524,19855,1918,82,1397,1.0714,0.161,0.3269,3e-4,0.0516,0.1349,2e-4,0.1094,0.192,4e-4,0.0572,0.0702,5e-4,0.0653,0.2331,0.0559,0.0429,0.0441,0.0522,0.133,1e-4,1031,8.6641,nonTOT
ATL,29,53,35.36585365853659,260,47370,Isaac Humphries,21,C,5,1,56,35.7056,12,0.1525,0.3571,0.2679,3,0.1964,11,6,21,0.2857,3,11,0.2727,3,10,0.3,0,0,0,4,7,0,1,0,0,7,15,0,7524,19855,1918,82,1397,0,0.1071,0.375,0.0051,0.0536,0.1964,0.0049,0.0536,0.1786,0.0054,0,0,0,0.0714,0.125,0,0.0179,0,0,0.125,0,12,0.307,nonTOT
ATL,29,53,35.36585365853659,323,4350000,Alex Len,25,C,77,31,1544,564.3918,1054.7403,0.2213,0.5509,0.5531,11.0909,0.2746,424,320,648,0.4938,74,204,0.3627,246,444,0.5541,140,216,0.6481,158,266,86,27,69,97,200,854,0.3333,7524,19855,1918,82,1397,0.8866,0.2073,0.4197,3e-4,0.0479,0.1321,2e-4,0.1593,0.2876,4e-4,0.0907,0.1399,4e-4,0.1023,0.1723,0.0557,0.0175,0.0447,0.0628,0.1295,2e-4,959,8.2062,nonTOT
ATL,29,53,35.36585365853659,435,12400000,Miles Plumlee,30,C,18,0,173,104.841,115.4444,0.1674,0.6667,0.4624,4.4444,0.2254,39,32,48,0.6667,0,0,0,32,48,0.6667,16,30,0.5333,16,23,17,6,4,10,14,80,0.625,7524,19855,1918,82,1397,1.7,0.185,0.2775,0.0039,0,0,0,0.185,0.2775,0.0039,0.0925,0.1734,0.0031,0.0925,0.1329,0.0983,0.0347,0.0231,0.0578,0.0809,0.0036,106,1.5731,nonTOT
CHI,22,60,26.82926829268293,98,4446840,Wendell Carter,19,C,44,44,1110,546.0447,708.5227,0.1911,0.4933,0.4099,10.3409,0.2766,307,180,371,0.4852,6,32,0.1875,174,339,0.5133,89,112,0.7946,87,220,78,26,58,65,152,455,0.3019,7205,19905,1695,82,1159,1.2,0.1622,0.3342,4e-4,0.0054,0.0288,2e-4,0.1568,0.3054,5e-4,0.0802,0.1009,7e-4,0.0784,0.1982,0.0703,0.0234,0.0523,0.0586,0.1369,3e-4,645,6.0947,nonTOT
CHI,22,60,26.82926829268293,176,8470980,Cristiano Felicio,26,C,60,0,746,326.5735,405.45,0.143,0.5307,0.3217,4,0.2922,218,95,179,0.5307,0,4,0,95,175,0.5429,50,73,0.6849,79,139,37,11,7,33,69,240,0.4078,7205,19905,1695,82,1159,1.1212,0.1273,0.2399,7e-4,0,0.0054,0,0.1273,0.2346,7e-4,0.067,0.0979,9e-4,0.1059,0.1863,0.0496,0.0147,0.0094,0.0442,0.0925,5e-4,373,4.0417,nonTOT
CHI,22,60,26.82926829268293,334,14357750,Robin Lopez,30,C,74,36,1606,374.3767,901.7027,0.1864,0.5748,0.4384,9.5135,0.1781,286,304,535,0.5682,7,31,0.2258,297,504,0.5893,89,123,0.7236,140,146,89,11,78,96,124,704,0.2299,7205,19905,1695,82,1159,0.9271,0.1893,0.3331,4e-4,0.0044,0.0193,1e-4,0.1849,0.3138,4e-4,0.0554,0.0766,5e-4,0.0872,0.0909,0.0554,0.0068,0.0486,0.0598,0.0772,1e-4,807,7.21,nonTOT
PHO,19,63,23.170731707317074,29,8175840,Deandre Ayton,20,C,71,70,2183,741.7777,1730.2254,0.2122,0.5851,0.5309,16.3239,0.3339,729,509,870,0.5851,0,4,0,509,866,0.5878,141,189,0.746,223,506,125,61,67,126,209,1159,0.2172,7164,19880,1858,82,1279,0.9921,0.2332,0.3985,3e-4,0,0.0018,0,0.2332,0.3967,3e-4,0.0646,0.0866,3e-4,0.1022,0.2318,0.0573,0.0279,0.0307,0.0577,0.0957,1e-4,1606,12.0806,nonTOT
PHO,19,63,23.170731707317074,253,1600520,Richaun Holmes,25,C,70,4,1184,532.8892,893.2571,0.1791,0.6082,0.4831,8.1714,0.2796,331,222,365,0.6082,0,0,0,222,365,0.6082,128,175,0.7314,115,216,60,42,79,52,194,572,0.4795,7164,19880,1858,82,1279,1.1538,0.1875,0.3083,5e-4,0,0,0,0.1875,0.3083,5e-4,0.1081,0.1478,6e-4,0.0971,0.1824,0.0507,0.0355,0.0667,0.0439,0.1639,4e-4,842,7.4433,nonTOT
NYK,17,65,20.73170731707317,461,1485440,Mitchell Robinson,20,C,66,19,1360,647.8319,1014.4697,0.1212,0.6942,0.3566,7.3485,0.311,423,202,291,0.6942,0,0,0,202,291,0.6942,81,135,0.6,177,246,37,52,161,35,217,485,0.4639,7241,19780,1956,82,1151,1.0571,0.1485,0.214,5e-4,0,0,0,0.1485,0.214,5e-4,0.0596,0.0993,4e-4,0.1301,0.1809,0.0272,0.0382,0.1184,0.0257,0.1596,3e-4,980,8.3407,nonTOT
CLE,19,63,23.170731707317074,188,2393887,Channing Frye,35,C,36,6,341,42.9743,134.6389,0.1746,0.5043,0.3783,3.5833,0.1525,52,43,117,0.3675,32,79,0.4051,11,38,0.2895,11,14,0.7857,4,48,20,6,5,13,44,129,0.1197,7184,19755,1694,82,1106,1.5385,0.1261,0.3431,0.0011,0.0938,0.2317,0.0012,0.0323,0.1114,8e-4,0.0323,0.0411,0.0023,0.0117,0.1408,0.0587,0.0176,0.0147,0.0381,0.129,4e-4,122,1.748,nonTOT
CLE,19,63,23.170731707317074,398,2272390,Larry Nance,26,C,67,30,1795,583.7051,1263.5522,0.1547,0.5543,0.3493,9.3582,0.3075,552,249,479,0.5198,33,98,0.3367,216,381,0.5669,96,134,0.7164,168,384,214,100,40,97,192,627,0.2797,7184,19755,1694,82,1106,2.2062,0.1387,0.2669,3e-4,0.0184,0.0546,2e-4,0.1203,0.2123,3e-4,0.0535,0.0747,4e-4,0.0936,0.2139,0.1192,0.0557,0.0223,0.054,0.107,2e-4,1168,9.514,nonTOT
CLE,19,63,23.170731707317074,518,17469565,Tristan Thompson,27,C,43,40,1198,459.5695,819.6279,0.1773,0.5289,0.3923,10.9302,0.3656,438,201,380,0.5289,0,0,0,201,380,0.5289,68,106,0.6415,173,265,86,28,16,59,89,470,0.2789,7184,19755,1694,82,1106,1.4576,0.1678,0.3172,4e-4,0,0,0,0.1678,0.3172,4e-4,0.0568,0.0885,5e-4,0.1444,0.2212,0.0718,0.0234,0.0134,0.0492,0.0743,2e-4,762,6.9063,nonTOT
CLE,19,63,23.170731707317074,574,1952760,Ante Zizic,22,C,59,25,1082,506.3261,678.9661,0.1819,0.5529,0.4242,7.7797,0.2957,320,183,331,0.5529,0,0,0,183,331,0.5529,93,132,0.7045,108,212,53,13,22,61,113,459,0.3988,7184,19755,1694,82,1106,0.8689,0.1691,0.3059,5e-4,0,0,0,0.1691,0.3059,5e-4,0.086,0.122,7e-4,0.0998,0.1959,0.049,0.012,0.0203,0.0564,0.1044,4e-4,619,5.9095,nonTOT
