player_id,salary,player_name,Age,Pos,Tm,G,GS,MP,TrV,EFF,Tm_use_total,eFGp,FG,FGA,FGp,X3P,X3PA,X3Pp,X2P,X2PA,X2Pp,FT,FTA,FTp,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FTF,PTS_per_game,Tm_FGA,Tm_MP,Tm_FTA,Tm_G,Tm_TOV,ASTTOVR,FG_MP,FGA_MP,FGp_MP,X3P_MP,X3PA_MP,X3Pp_MP,X2P_MP,X2PA_MP,X2Pp_MP,FT_MP,FTA_MP,FTp_MP,ORB_MP,DRB_MP,TRB_MP,AST_MP,STL_MP,BLK_MP,TOV_MP,PF_MP,PTS_per_MP,FTF_MP,Creds,ApproxV
264,16000000,Andre Iguodala,35,SF,GSW,68,13,1578,135.3611,789.2353,0.1039,0.5795,151,302,0.5,48,144,0.3333,103,158,0.6519,39,67,0.5821,48,204,252,216,61,51,52,95,389,0.2219,5.7206,7361,19805,1672,82,1169,4.1538,0.0957,0.1914,3e-4,0.0304,0.0913,2e-4,0.0653,0.1001,4e-4,0.0247,0.0425,4e-4,0.0304,0.1293,0.1597,0.1369,0.0387,0.0323,0.033,0.0602,0.2465,1e-4,738,6.7425
282,2165481,Jonas Jerebko,31,PF,GSW,73,6,1218,295.9871,679.411,0.152,0.5563,163,355,0.4592,69,188,0.367,94,167,0.5629,64,80,0.8,72,216,288,96,27,18,43,137,459,0.2254,6.2877,7361,19805,1672,82,1169,2.2326,0.1338,0.2915,4e-4,0.0567,0.1544,3e-4,0.0772,0.1371,5e-4,0.0525,0.0657,7e-4,0.0591,0.1773,0.2365,0.0788,0.0222,0.0148,0.0353,0.1125,0.3768,2e-4,637,6.0379
293,1544951,Damian Jones,23,C,GSW,24,22,410,265.8623,235.3333,0.1108,0.7162,53,74,0.7162,0,0,0,53,74,0.7162,24,37,0.6486,31,44,75,28,12,25,16,63,130,0.5,5.4167,7361,19805,1672,82,1169,1.75,0.1293,0.1805,0.0017,0,0,0,0.1293,0.1805,0.0017,0.0585,0.0902,0.0016,0.0756,0.1073,0.1829,0.0683,0.0293,0.061,0.039,0.1537,0.3171,0.0012,220,2.7202
321,77250,Damion Lee,26,SG,GSW,32,0,375,191.2918,173.6562,0.1684,0.5472,56,127,0.4409,27,68,0.3971,29,59,0.4915,19,22,0.8636,8,56,64,13,13,0,11,28,158,0.1732,4.9375,7361,19805,1672,82,1169,1.1818,0.1493,0.3387,0.0012,0.072,0.1813,0.0011,0.0773,0.1573,0.0013,0.0507,0.0587,0.0023,0.0213,0.1493,0.1707,0.0347,0.0347,0,0.0293,0.0747,0.4213,5e-4,163,2.1723
330,8307692,Shaun Livingston,33,PG,GSW,64,0,967,164.2056,434.4062,0.1196,0.519,109,210,0.519,0,2,0,109,208,0.524,40,51,0.7843,42,75,117,114,31,27,38,74,258,0.2429,4.0312,7361,19805,1672,82,1169,3,0.1127,0.2172,5e-4,0,0.0021,0,0.1127,0.2151,5e-4,0.0414,0.0527,8e-4,0.0434,0.0776,0.121,0.1179,0.0321,0.0279,0.0393,0.0765,0.2668,3e-4,397,4.2352
333,1567007,Kevon Looney,22,C,GSW,80,24,1481,608.9918,968.3625,0.1282,0.6268,217,347,0.6254,1,10,0.1,216,337,0.6409,65,105,0.619,194,223,417,123,46,53,51,211,500,0.3026,6.25,7361,19805,1672,82,1169,2.4118,0.1465,0.2343,4e-4,7e-4,0.0068,1e-4,0.1458,0.2275,4e-4,0.0439,0.0709,4e-4,0.131,0.1506,0.2816,0.0831,0.0311,0.0358,0.0344,0.1425,0.3376,2e-4,918,7.9417
363,1349383,Alfonzo McKinnie,26,SF,GSW,72,5,1003,368.0418,485.5833,0.139,0.5636,134,275,0.4873,42,118,0.3559,92,157,0.586,27,48,0.5625,81,166,247,31,18,15,30,134,337,0.1745,4.6806,7361,19805,1672,82,1169,1.0333,0.1336,0.2742,5e-4,0.0419,0.1176,4e-4,0.0917,0.1565,6e-4,0.0269,0.0479,6e-4,0.0808,0.1655,0.2463,0.0309,0.0179,0.015,0.0299,0.1336,0.336,2e-4,456,4.699
517,18988725,Klay Thompson,28,SG,GSW,78,78,2652,555.0008,1518.5256,0.2557,0.5531,655,1402,0.4672,241,599,0.4023,414,803,0.5156,129,158,0.8165,37,262,299,186,84,47,115,157,1680,0.1127,21.5385,7361,19805,1672,82,1169,1.6174,0.247,0.5287,2e-4,0.0909,0.2259,2e-4,0.1561,0.3028,2e-4,0.0486,0.0596,3e-4,0.014,0.0988,0.1127,0.0701,0.0317,0.0177,0.0434,0.0592,0.6335,0,1405,10.9279
51,194220,Dairis Bertans,29,SG,NOP,12,0,167,30.7205,18.8333,0.1205,0.3617,12,47,0.2553,10,34,0.2941,2,13,0.1538,0,0,0,2,7,9,10,1,0,2,7,34,0,2.8333,7563,19755,1921,82,1215,5,0.0719,0.2814,0.0015,0.0599,0.2036,0.0018,0.012,0.0778,9e-4,0,0,0,0.012,0.0419,0.053900000000000003,0.0599,0.006,0,0.012,0.0419,0.2036,0,17,0.3987
112,1757429,Ian Clark,27,SG,NOP,60,6,973,280.5192,377.0333,0.193,0.4804,151,383,0.3943,66,202,0.3267,85,181,0.4696,33,37,0.8919,13,76,89,94,22,8,58,95,401,0.0966,6.6833,7563,19755,1921,82,1215,1.6207,0.1552,0.3936,4e-4,0.0678,0.2076,3e-4,0.0874,0.186,5e-4,0.0339,0.038,9e-4,0.0134,0.0781,0.0915,0.0966,0.0226,0.0082,0.0596,0.0976,0.4121,1e-4,320,3.6028
135,25434263,Anthony Davis,25,C,NOP,56,56,1850,685.898,1978,0.2948,0.54,530,1026,0.5166,48,145,0.331,482,881,0.5471,344,433,0.7945,174,498,672,218,88,135,112,132,1452,0.422,25.9286,7563,19755,1921,82,1215,1.9464,0.2865,0.5546,3e-4,0.0259,0.0784,2e-4,0.2605,0.4762,3e-4,0.1859,0.2341,4e-4,0.0941,0.2692,0.3632,0.1178,0.0476,0.073,0.0605,0.0714,0.7849,2e-4,1868,13.5305
147,1544951,Cheick Diallo,22,PF,NOP,64,1,896,517.0706,693.2344,0.1601,0.6218,168,271,0.6199,1,4,0.25,167,267,0.6255,50,67,0.7463,75,257,332,33,29,33,49,113,387,0.2472,6.0469,7563,19755,1921,82,1215,0.6735,0.1875,0.3025,7e-4,0.0011,0.0045,3e-4,0.1864,0.298,7e-4,0.0558,0.0748,8e-4,0.0837,0.2868,0.3705,0.0368,0.0324,0.0368,0.0547,0.1261,0.4319,3e-4,645,6.0947
232,354500,Andrew Harrison,24,"PG, PG, PG","NOP, CLE, MEM",17,0,187,97.0277,65.2941,0.5097,0.3491,16,53,0.3019,5,25,0.2,11,28,0.3929,17,18,0.9444,6,14,20,24,4,2,12,34,54,0.3396,3.1765,7563,19755,1921,82,1215,2,0.0856,0.2834,0.0016,0.0267,0.1337,0.0011,0.0588,0.1497,0.0021,0.0909,0.0963,0.0051,0.0321,0.0749,0.107,0.1283,0.0214,0.0107,0.0642,0.1818,0.2888,0.0018,54,0.9486
247,12763467,Solomon Hill,27,SF,NOP,44,15,878,247.0219,292.2955,0.1043,0.4719,68,178,0.382,32,101,0.3168,36,77,0.4675,23,32,0.7188,34,99,133,55,23,10,31,80,191,0.1798,4.3409,7563,19755,1921,82,1215,1.7742,0.0774,0.2027,4e-4,0.0364,0.115,4e-4,0.041,0.0877,5e-4,0.0262,0.0364,8e-4,0.0387,0.1128,0.1515,0.0626,0.0262,0.0114,0.0353,0.0911,0.2175,2e-4,262,3.101
248,26641111,Jrue Holiday,28,SG,NOP,67,67,2402,570.8867,1756.8657,0.2544,0.5229,547,1159,0.472,118,363,0.3251,429,796,0.5389,208,271,0.7675,75,259,334,518,109,54,210,148,1420,0.2338,21.194,7563,19755,1921,82,1215,2.4667,0.2277,0.4825,2e-4,0.0491,0.1511,1e-4,0.1786,0.3314,2e-4,0.0866,0.1128,3e-4,0.0312,0.10780000000000001,0.1391,0.2157,0.0454,0.0225,0.0874,0.0616,0.5912,1e-4,1550,11.7633
276,1378242,Frank Jackson,20,PG,NOP,61,16,1169,418.7482,452.2131,0.1851,0.4933,194,447,0.434,53,169,0.3136,141,278,0.5072,54,73,0.7397,25,109,134,69,25,2,48,92,495,0.1633,8.1148,7563,19755,1921,82,1215,1.4375,0.166,0.3824,4e-4,0.0453,0.1446,3e-4,0.1206,0.2378,4e-4,0.0462,0.0624,6e-4,0.0214,0.0932,0.1146,0.059,0.0214,0.0017,0.0411,0.0787,0.4234,1e-4,405,4.299
286,3940401,Stanley Johnson,22,"SF, SF","NOP, DET",66,7,1208,435.7957,548.7727,0.3954,0.4591,171,440,0.3886,62,215,0.2884,109,225,0.4844,50,64,0.7812,34,183,217,88,60,14,81,114,454,0.1455,6.8788,7563,19755,1921,82,1215,1.0864,0.1416,0.3642,3e-4,0.0513,0.178,2e-4,0.0902,0.1863,4e-4,0.0414,0.053,6e-4,0.0281,0.1515,0.1796,0.0728,0.0497,0.0116,0.0671,0.0944,0.3758,1e-4,469,4.7991
