Tm,W,L,player_id,salary,player_name,Age,Pos,G,GS,MP,TrV,EFF,Tm_use_total,eFGp,PTS_per_MP,PTS_per_game,FG,FGA,FGp,X3P,X3PA,X3Pp,X2P,X2PA,X2Pp,FT,FTA,FTp,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FTF,Tm_FGA,Tm_MP,Tm_FTA,Tm_G,Tm_TOV,ASTTOVR,FG_MP,FGA_MP,FGp_MP,X3P_MP,X3PA_MP,X3Pp_MP,X2P_MP,X2PA_MP,X2Pp_MP,FT_MP,FTA_MP,FTp_MP,ORB_MP,DRB_MP,TRB_MP,AST_MP,STL_MP,BLK_MP,TOV_MP,PF_MP,FTF_MP,Creds,ApproxV,TOT
LAL,37,45,278,35654150,LeBron James,34,SF,55,55,1937,263.9038,1848.4182,0.3157,0.5603,0.777,27.3636,558,1095,0.5096,111,327,0.3394,447,768,0.582,278,418,0.6651,57,408,465,454,72,33,197,94,1505,0.3817,7425,19780,1910,82,1284,2.3046,0.2881,0.5653,3e-4,0.0573,0.1688,2e-4,0.2308,0.3965,3e-4,0.1435,0.2158,3e-4,0.0294,0.2106,0.2401,0.2344,0.0372,0.017,0.1017,0.0485,2e-4,1655,12.356,nonTOT
LAL,37,45,297,52170,Jemerrio Jones,23,SF,6,2,143,126.1576,78.1667,0.1126,0.3939,0.1888,4.5,12,33,0.3636,2,10,0.2,10,23,0.4348,1,2,0.5,16,33,49,13,7,5,5,10,27,0.0606,7425,19780,1910,82,1284,2.6,0.0839,0.2308,0.0025,0.014,0.0699,0.0014,0.0699,0.1608,0.003,0.007,0.014,0.0035,0.1119,0.2308,0.3427,0.0909,0.049,0.035,0.035,0.0699,4e-4,74,1.2014,nonTOT
MEM,33,49,17,8641000,Kyle Anderson,25,SF,43,40,1281,452.0473,661.6512,0.1263,0.5598,0.2701,8.0465,150,276,0.5435,9,34,0.2647,141,242,0.5826,37,64,0.5781,48,203,251,128,54,37,58,112,346,0.2319,6924,19880,1882,82,1147,2.2069,0.1171,0.2155,4e-4,0.007,0.0265,2e-4,0.1101,0.1889,5e-4,0.0289,0.05,5e-4,0.0375,0.1585,0.1959,0.0999,0.0422,0.0289,0.0453,0.0874,2e-4,605,5.8089,nonTOT
MEM,33,49,79,1378242,Dillon Brooks,23,SF,18,0,330,151.5162,113.9444,0.2088,0.4631,0.4091,7.5,49,122,0.4016,15,40,0.375,34,82,0.4146,22,30,0.7333,9,22,31,16,10,4,19,50,135,0.2459,6924,19880,1882,82,1147,0.8421,0.1485,0.3697,0.0012,0.0455,0.1212,0.0011,0.103,0.2485,0.0013,0.0667,0.0909,0.0022,0.0273,0.0667,0.0939,0.0485,0.0303,0.0121,0.0576,0.1515,7e-4,96,1.4604,nonTOT
MEM,33,49,92,705361,Bruno Caboclo,23,SF,34,19,800,363.7152,398.8824,0.1592,0.5333,0.3525,8.2941,96,225,0.4267,48,130,0.3692,48,95,0.5053,42,50,0.84,42,116,158,50,14,33,38,81,282,0.2222,6924,19880,1882,82,1147,1.3158,0.12,0.2812,5e-4,0.06,0.1625,5e-4,0.06,0.1187,6e-4,0.0525,0.0625,0.001,0.0525,0.145,0.1975,0.0625,0.0175,0.0412,0.0475,0.1013,3e-4,362,3.952,nonTOT
MEM,33,49,103,2176260,Omri Casspi,30,SF,36,0,520,201.7809,301.3611,0.18,0.5807,0.4346,6.2778,86,161,0.5342,15,43,0.3488,71,118,0.6017,39,58,0.6724,17,98,115,26,20,9,23,35,226,0.3602,6924,19880,1882,82,1147,1.1304,0.1654,0.3096,0.001,0.0288,0.0827,7e-4,0.1365,0.2269,0.0012,0.075,0.1115,0.0013,0.0327,0.1885,0.2212,0.05,0.0385,0.0173,0.0442,0.0673,7e-4,279,3.2508,nonTOT
MEM,33,49,425,24107258,Chandler Parsons,30,SF,25,3,496,148.1662,205.72,0.2027,0.4533,0.377,7.48,68,182,0.3736,29,94,0.3085,39,88,0.4432,22,25,0.88,4,66,70,43,19,5,32,45,187,0.1374,6924,19880,1882,82,1147,1.3438,0.1371,0.3669,8e-4,0.0585,0.1895,6e-4,0.0786,0.1774,9e-4,0.0444,0.0504,0.0018,0.0081,0.1331,0.1411,0.0867,0.0383,0.0101,0.0645,0.0907,3e-4,175,2.2912,nonTOT
MEM,33,49,545,77250,Julian Washburn,27,SF,18,3,254,100.0643,76.6111,0.0998,0.3854,0.1575,2.2222,16,48,0.3333,5,24,0.2083,11,24,0.4583,3,4,0.75,8,33,41,14,13,2,7,16,40,0.0833,6924,19880,1882,82,1147,2,0.063,0.189,0.0013,0.0197,0.0945,8e-4,0.0433,0.0945,0.0018,0.0118,0.0157,0.003,0.0315,0.1299,0.1614,0.0551,0.0512,0.0079,0.0276,0.063,3e-4,70,1.1524,nonTOT
MEM,33,49,546,77250,Yuta Watanabe,24,SF,15,0,174,75.2929,43.6,0.1577,0.3137,0.2241,2.6,15,51,0.2941,2,16,0.125,13,35,0.3714,7,10,0.7,4,27,31,8,4,1,6,11,39,0.1961,6924,19880,1882,82,1147,1.3333,0.0862,0.2931,0.0017,0.0115,0.092,7e-4,0.0747,0.2011,0.0021,0.0402,0.0575,0.004,0.023,0.1552,0.1782,0.046,0.023,0.0057,0.0345,0.0632,0.0011,38,0.7288,nonTOT
WAS,32,50,81,2752680,Troy Brown,19,SF,52,10,730,367.9798,346.4231,0.1653,0.4615,0.3397,4.7692,97,234,0.4145,22,69,0.3188,75,165,0.4545,32,47,0.6809,35,110,145,80,21,5,30,56,248,0.2009,7387,19930,1963,82,1154,2.6667,0.1329,0.3205,6e-4,0.0301,0.0945,4e-4,0.1027,0.226,6e-4,0.0438,0.0644,9e-4,0.0479,0.1507,0.1986,0.1096,0.0288,0.0068,0.0411,0.0767,3e-4,317,3.5775,nonTOT
