Tm,W,L,player_id,salary,player_name,Age,Pos,G,GS,MP,TrV,EFF,Tm_use_total,eFGp,PTS_per_MP,PTS_per_game,FG,FGA,FGp,X3P,X3PA,X3Pp,X2P,X2PA,X2Pp,FT,FTA,FTp,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FTF,Tm_FGA,Tm_MP,Tm_FTA,Tm_G,Tm_TOV,ASTTOVR,FG_MP,FGA_MP,FGp_MP,X3P_MP,X3PA_MP,X3Pp_MP,X2P_MP,X2PA_MP,X2Pp_MP,FT_MP,FTA_MP,FTp_MP,ORB_MP,DRB_MP,TRB_MP,AST_MP,STL_MP,BLK_MP,TOV_MP,PF_MP,FTF_MP,Creds,ApproxV,TOT
ORL,42,40,75,838464,Isaiah Briscoe,22,PG,39,0,559,244.7254,215.2051,0.1406,0.4384,0.2433,3.4872,55,138,0.3986,11,34,0.3235,44,104,0.4231,15,26,0.5769,5,69,74,87,11,2,31,66,136,0.1884,7307,19780,1575,82,1082,2.8065,0.0984,0.2469,7e-4,0.0197,0.0608,6e-4,0.0787,0.186,8e-4,0.0268,0.0465,0.001,0.0089,0.1234,0.1324,0.1556,0.0197,0.0036,0.0555,0.1181,3e-4,185,2.3887,nonTOT
ORL,42,40,105,77250,Troy Caupain,23,PG,4,0,16,37.6425,14,0.2178,0.625,0.625,2.5,4,8,0.5,2,3,0.6667,2,5,0.4,0,0,0,1,2,3,4,1,0,0,0,10,0,7307,19780,1575,82,1082,Inf,0.25,0.5,0.0312,0.125,0.1875,0.0417,0.125,0.3125,0.025,0,0,0,0.0625,0.125,0.1875,0.25,0.0625,0,0,0,0,14,0.3446,nonTOT
ORL,42,40,212,2639313,Jerian Grant,26,PG,60,1,939,320.1302,411.15,0.1339,0.5091,0.2662,4.1667,92,220,0.4182,40,110,0.3636,52,110,0.4727,26,40,0.65,19,79,98,156,44,6,51,78,250,0.1818,7307,19780,1575,82,1082,3.0588,0.098,0.2343,4e-4,0.0426,0.1171,4e-4,0.0554,0.1171,5e-4,0.0277,0.0426,7e-4,0.0202,0.0841,0.1044,0.1661,0.0469,0.0064,0.0543,0.0831,2e-4,361,3.9438,nonTOT
BRK,42,40,150,1656092,Spencer Dinwiddie,25,PG,68,4,1914,572.9007,1143.7647,0.2495,0.5169,0.5972,16.8088,366,828,0.442,124,370,0.3351,242,458,0.5284,287,356,0.8062,26,140,166,311,40,17,152,187,1143,0.43,7358,19980,2088,82,1236,2.0461,0.1912,0.4326,2e-4,0.0648,0.1933,2e-4,0.1264,0.2393,3e-4,0.1499,0.186,4e-4,0.0136,0.0731,0.0867,0.1625,0.0209,0.0089,0.0794,0.0977,2e-4,994,8.4299,nonTOT
BRK,42,40,399,1942422,Shabazz Napier,27,PG,56,2,983,355.6816,538.8214,0.24,0.4759,0.5381,9.4464,169,435,0.3885,76,228,0.3333,93,207,0.4493,115,138,0.8333,18,82,100,143,41,16,66,67,529,0.3172,7358,19980,2088,82,1236,2.1667,0.1719,0.4425,4e-4,0.0773,0.2319,3e-4,0.0946,0.2106,5e-4,0.117,0.1404,8e-4,0.0183,0.0834,0.1017,0.1455,0.0417,0.0163,0.0671,0.0682,3e-4,474,4.8374,nonTOT
BRK,42,40,469,7019698,D'Angelo Russell,22,PG,81,81,2448,719.2991,1803.8765,0.3192,0.5115,0.6993,21.1358,659,1517,0.4344,234,635,0.3685,425,882,0.4819,160,205,0.7805,53,262,315,563,100,20,253,141,1712,0.1351,7358,19980,2088,82,1236,2.2253,0.2692,0.6197,2e-4,0.0956,0.2594,2e-4,0.1736,0.3603,2e-4,0.0654,0.0837,3e-4,0.0217,0.107,0.1287,0.23,0.0408,0.0082,0.1033,0.0576,1e-4,1554,11.7861,nonTOT
MIA,39,43,156,18109175,Goran Dragic,32,PG,36,22,991,215.8477,536.0278,0.2371,0.4792,0.4985,13.7222,179,433,0.4134,57,164,0.3476,122,269,0.4535,79,101,0.7822,20,91,111,174,30,5,71,81,494,0.2333,7218,19730,1782,82,1208,2.4507,0.1806,0.4369,4e-4,0.0575,0.1655,4e-4,0.1231,0.2714,5e-4,0.0797,0.1019,8e-4,0.0202,0.0918,0.112,0.1756,0.0303,0.005,0.0716,0.0817,2e-4,467,4.7837,nonTOT
DET,41,41,93,2393887,Jose Calderon,37,PG,49,0,632,9.3136,229.2857,0.1091,0.4333,0.1788,2.3061,45,120,0.375,14,57,0.2456,31,63,0.4921,9,11,0.8182,11,49,60,115,16,3,35,64,113,0.0917,7238,19855,1893,82,1135,3.2857,0.0712,0.1899,6e-4,0.0222,0.0902,4e-4,0.0491,0.0997,8e-4,0.0142,0.0174,0.0013,0.0174,0.0775,0.0949,0.182,0.0253,0.0047,0.0554,0.1013,1e-4,195,2.4849,nonTOT
DET,41,41,272,17043478,Reggie Jackson,28,PG,82,82,2289,508.2179,1244.1951,0.2448,0.5043,0.5505,15.3659,441,1047,0.4212,174,471,0.3694,267,576,0.4635,204,236,0.8644,45,171,216,344,55,9,148,208,1260,0.2254,7238,19855,1893,82,1135,2.3243,0.1927,0.4574,2e-4,0.076,0.2058,2e-4,0.1166,0.2516,2e-4,0.0891,0.1031,4e-4,0.0197,0.0747,0.0944,0.1503,0.024,0.0039,0.0647,0.0909,1e-4,1098,9.0831,nonTOT
DET,41,41,339,648008,Kalin Lucas,29,PG,1,0,6,12.3909,5,0.1352,0,0.3333,2,0,1,0,0,1,0,0,0,0,2,2,1,0,3,3,1,0,0,0,1,2,2,7238,19855,1893,82,1135,Inf,0,0.1667,0,0,0.1667,0,0,0,0,0.3333,0.3333,0.1667,0,0.5,0.5,0.1667,0,0,0,0.1667,0.3333,5,0.1592,nonTOT
