Tm,W,L,WinP_Tm,player_id,salary,player_name,Age,Pos,G,GS,MP,TrV,EFF,Tm_use_total,eFGp,PTS_per_MP,PTS_per_game,TRB_MP,TRB,FG,FGA,FGp,X3P,X3PA,X3Pp,X2P,X2PA,X2Pp,FT,FTA,FTp,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FTF,Tm_FGA,Tm_MP,Tm_FTA,Tm_G,Tm_TOV,ASTTOVR,FG_MP,FGA_MP,FGp_MP,X3P_MP,X3PA_MP,X3Pp_MP,X2P_MP,X2PA_MP,X2Pp_MP,FT_MP,FTA_MP,FTp_MP,ORB_MP,DRB_MP,AST_MP,STL_MP,BLK_MP,TOV_MP,PF_MP,FTF_MP,Creds,ApproxV,TOT
TOR,58,24,70.73170731707317,443,9367200,Norman Powell,25,SG,60,3,1126,413.0516,576.9167,0.1901,0.5675,0.4583,8.6,0.1234,139,193,400,0.4825,68,170,0.4,125,230,0.5435,62,75,0.8267,16,123,91,39,13,65,96,516,0.1875,7305,19880,1803,82,1150,1.4,0.1714,0.3552,4e-4,0.0604,0.151,4e-4,0.111,0.2043,5e-4,0.0551,0.0666,7e-4,0.0142,0.1092,0.0808,0.0346,0.0115,0.0577,0.0853,2e-4,513,5.133,nonTOT
TOR,58,24,70.73170731707317,456,1569360,Malachi Richardson,23,SG,22,0,103,39.6086,22.6364,0.1636,0.4483,0.2913,1.3636,0.1262,13,9,29,0.3103,8,25,0.32,1,4,0.25,4,5,0.8,2,11,0,1,0,8,13,30,0.1724,7305,19880,1803,82,1150,0,0.0874,0.2816,0.003,0.0777,0.2427,0.0031,0.0097,0.0388,0.0024,0.0388,0.0485,0.0078,0.0194,0.1068,0,0.0097,0,0.0777,0.1262,0.0017,15,0.363,nonTOT
UTA,50,32,60.97560975609756,12,2076960,Grayson Allen,23,SG,38,2,416,168.6683,144.1316,0.244,0.4663,0.5072,5.5526,0.0553,23,67,178,0.3764,32,99,0.3232,35,79,0.443,45,60,0.75,3,20,25,6,6,33,47,211,0.3371,7082,19755,2092,82,1240,0.7576,0.1611,0.4279,9e-4,0.0769,0.238,8e-4,0.0841,0.1899,0.0011,0.1082,0.1442,0.0018,0.0072,0.0481,0.0601,0.0144,0.0144,0.0793,0.113,8e-4,112,1.6394,nonTOT
UTA,50,32,60.97560975609756,378,3111480,Donovan Mitchell,22,SG,77,77,2598,707.6118,1655.1688,0.3163,0.4935,0.704,23.7532,0.1216,316,661,1530,0.432,188,519,0.3622,473,1011,0.4679,319,396,0.8056,59,257,322,106,31,218,208,1829,0.2588,7082,19755,2092,82,1240,1.4771,0.2544,0.5889,2e-4,0.0724,0.1998,1e-4,0.1821,0.3891,2e-4,0.1228,0.1524,3e-4,0.0227,0.0989,0.1239,0.0408,0.0119,0.0839,0.0801,1e-4,1440,11.1315,nonTOT
UTA,50,32,60.97560975609756,332,77250,Naz Long,25,SG,14,0,84,39.9809,24.4286,0.147,0.35,0.1905,1.1429,0.0714,6,6,20,0.3,2,11,0.1818,4,9,0.4444,2,2,1,1,5,15,1,1,8,10,16,0.1,7082,19755,2092,82,1240,1.875,0.0714,0.2381,0.0036,0.0238,0.131,0.0022,0.0476,0.1071,0.0053,0.0238,0.0238,0.0119,0.0119,0.0595,0.1786,0.0119,0.0119,0.0952,0.119,0.0012,17,0.3987,nonTOT
HOU,53,29,64.63414634146342,207,13500375,Eric Gordon,30,SG,68,53,2158,365.9302,859.6765,0.2202,0.5245,0.5111,16.2206,0.0686,148,384,938,0.4094,216,600,0.36,168,338,0.497,119,152,0.7829,17,131,129,41,27,90,143,1103,0.162,7163,19830,2001,82,1094,1.4333,0.1779,0.4347,2e-4,0.1001,0.278,2e-4,0.0778,0.1566,2e-4,0.0551,0.0704,4e-4,0.0079,0.0607,0.0598,0.019,0.0125,0.0417,0.0663,1e-4,771,6.9674,nonTOT
HOU,53,29,64.63414634146342,218,1512601,Gerald Green,33,SG,73,0,1473,198.2427,598.2466,0.1953,0.5346,0.4582,9.2466,0.1236,182,231,578,0.3997,156,441,0.3537,75,137,0.5474,57,68,0.8382,30,152,40,33,27,55,126,675,0.1176,7163,19830,2001,82,1094,0.7273,0.1568,0.3924,3e-4,0.1059,0.2994,2e-4,0.0509,0.093,4e-4,0.0387,0.0462,6e-4,0.0204,0.1032,0.0272,0.0224,0.0183,0.0373,0.0855,1e-4,544,5.3639,nonTOT
POR,53,29,64.63414634146342,133,2795000,Seth Curry,28,SG,74,2,1399,340.4371,553.1757,0.1657,0.5774,0.4153,7.8514,0.0858,120,212,465,0.4559,113,251,0.4502,99,214,0.4626,44,52,0.8462,27,93,66,36,12,61,97,581,0.1118,7427,19855,1914,82,1135,1.082,0.1515,0.3324,3e-4,0.0808,0.1794,3e-4,0.0708,0.153,3e-4,0.0315,0.0372,6e-4,0.0193,0.0665,0.0472,0.0257,0.0086,0.0436,0.0693,1e-4,493,4.9821,nonTOT
POR,53,29,64.63414634146342,358,25759766,CJ McCollum,27,SG,70,70,2375,564.4315,1333.4857,0.2549,0.5265,0.6181,20.9714,0.1187,282,571,1243,0.4594,167,445,0.3753,404,798,0.5063,159,192,0.8281,62,220,207,55,28,106,172,1468,0.1545,7427,19855,1914,82,1135,1.9528,0.2404,0.5234,2e-4,0.0703,0.1874,2e-4,0.1701,0.336,2e-4,0.0669,0.0808,3e-4,0.0261,0.0926,0.0872,0.0232,0.0118,0.0446,0.0724,1e-4,1229,9.8843,nonTOT
POR,53,29,64.63414634146342,487,1837800,Anfernee Simons,19,SG,20,1,141,104.1404,59.45,0.2427,0.5238,0.5319,3.75,0.0922,13,28,63,0.4444,10,29,0.3448,18,34,0.5294,9,16,0.5625,3,10,13,1,0,11,9,75,0.254,7427,19855,1914,82,1135,1.1818,0.1986,0.4468,0.0032,0.0709,0.2057,0.0024,0.1277,0.2411,0.0038,0.0638,0.1135,0.004,0.0213,0.0709,0.0922,0.0071,0,0.078,0.0638,0.0018,49,0.8819,nonTOT
